"","LOCATION","TIME","HEALTHEXP","LIFEEXP"
"1","AUS",1971,223.592,71.6
"2","AUS",1972,239.1784,72
"3","AUS",1973,264.0303,72.1
"4","AUS",1974,322.3286,71.9
"5","AUS",1975,401.8512,72.7
"6","AUS",1976,430.061,72.8
"7","AUS",1977,472.8991,73.4
"8","AUS",1978,510.7161,73.7
"9","AUS",1979,554.7626,74.3
"10","AUS",1980,615.7256,74.6
"11","AUS",1981,697.3706,74.9
"12","AUS",1982,731.9027,74.7
"13","AUS",1983,773.4711,75.5
"14","AUS",1984,817.2866,75.8
"15","AUS",1985,881.2391,75.6
"16","AUS",1986,941.1635,76.1
"17","AUS",1987,981.6215,76.3
"18","AUS",1988,1039.8854,76.3
"19","AUS",1989,1091.3294,76.5
"20","AUS",1990,1154.0445,77
"21","AUS",1991,1229.3906,77.4
"22","AUS",1992,1307.222,77.5
"23","AUS",1993,1381.1135,78
"24","AUS",1994,1470.8096,78
"25","AUS",1995,1554.7982,77.9
"26","AUS",1996,1645.0156,78.2
"27","AUS",1997,1730.7444,78.5
"28","AUS",1998,1858.2922,78.7
"29","AUS",1999,1986.4928,79
"30","AUS",2000,2156.808,79.3
"31","AUS",2001,2271.4553,79.7
"32","AUS",2002,2426.4793,80
"33","AUS",2003,2546.2803,80.3
"34","AUS",2004,2745.6316,80.6
"35","AUS",2005,2842.1321,80.9
"36","AUS",2006,3023.0978,81.1
"37","AUS",2007,3196.226,81.4
"38","AUS",2008,3310.1708,81.5
"39","AUS",2009,3564.4049,81.6
"40","AUS",2010,3607.3407,81.8
"41","AUS",2011,3794.0874,82
"42","AUS",2012,3807.6819,82.1
"43","AUS",2013,4176.853,82.2
"44","AUS",2014,4206.8516,82.4
"45","AUS",2015,4420.4364,NA
"46","AUT",1971,201.9619,70.2
"47","AUT",1972,222.2858,70.6
"48","AUT",1973,249.2017,71.1
"49","AUT",1974,295.0659,71.1
"50","AUT",1975,412.0627,71.2
"51","AUT",1976,471.7179,71.7
"52","AUT",1977,521.641,72
"53","AUT",1978,579.8399,72.1
"54","AUT",1979,660.0909,72.4
"55","AUT",1980,742.5189,72.6
"56","AUT",1981,693.6662,72.9
"57","AUT",1982,747.8722,73.1
"58","AUT",1983,779.4923,73.1
"59","AUT",1984,814.0641,73.7
"60","AUT",1985,879.5659,73.9
"61","AUT",1986,933.7634,74.4
"62","AUT",1987,1015.9254,74.9
"63","AUT",1988,1083.2472,75.3
"64","AUT",1989,1189.9067,75.4
"65","AUT",1990,1507.933,75.7
"66","AUT",1991,1608.9806,75.7
"67","AUT",1992,1724.7343,75.9
"68","AUT",1993,1874.6122,76.2
"69","AUT",1994,2041.3374,76.5
"70","AUT",1995,2120.4786,76.8
"71","AUT",1996,2188.0253,77
"72","AUT",1997,2298.8535,77.4
"73","AUT",1998,2452.2438,77.8
"74","AUT",1999,2587.061,78
"75","AUT",2000,2726.4305,78.2
"76","AUT",2001,2772.9361,78.7
"77","AUT",2002,2942.5631,78.8
"78","AUT",2003,3085.9336,78.7
"79","AUT",2004,3260.8522,79.3
"80","AUT",2005,3324.0795,79.4
"81","AUT",2006,3567.6495,80
"82","AUT",2007,3718.739,80.3
"83","AUT",2008,3964.8495,80.5
"84","AUT",2009,4119.7452,80.4
"85","AUT",2010,4236.3164,80.7
"86","AUT",2011,4362.3426,81.1
"87","AUT",2012,4646.4365,81
"88","AUT",2013,4806.3934,81.2
"89","AUT",2014,4895.9992,81.6
"90","AUT",2015,5015.6372,NA
"91","BEL",1971,168.5058,71.2
"92","BEL",1972,191.5558,71.5
"93","BEL",1973,228.2962,71.7
"94","BEL",1974,262.2699,72.1
"95","BEL",1975,352.0285,72.1
"96","BEL",1976,406.3051,72.2
"97","BEL",1977,469.1313,72.9
"98","BEL",1978,531.6262,72.8
"99","BEL",1979,586.8149,73.3
"100","BEL",1980,645.0063,73.3
"101","BEL",1981,750.4773,73.7
"102","BEL",1982,829.7761,74
"103","BEL",1983,886.4823,74
"104","BEL",1984,919.2787,74.5
"105","BEL",1985,971.0915,74.6
"106","BEL",1986,1033.5016,74.8
"107","BEL",1987,1099.8816,75.5
"108","BEL",1988,1188.2074,75.7
"109","BEL",1989,1262.5005,75.7
"110","BEL",1990,1354.4443,76.1
"111","BEL",1991,1481.8642,76.3
"112","BEL",1992,1569.6355,76.5
"113","BEL",1993,1611.0269,76.5
"114","BEL",1994,1648.9681,76.8
"115","BEL",1995,1710.4518,77
"116","BEL",1996,1804.5439,77.3
"117","BEL",1997,1849.8923,77.5
"118","BEL",1998,1920.7638,77.6
"119","BEL",1999,2047.9187,77.7
"120","BEL",2000,2245.8634,77.8
"121","BEL",2001,2366.5965,78.1
"122","BEL",2002,2542.4562,78.2
"123","BEL",2003,2822.6807,78.2
"124","BEL",2004,2913.2791,79
"125","BEL",2005,2985.8089,79.1
"126","BEL",2006,3136.9155,79.5
"127","BEL",2007,3286.2254,79.9
"128","BEL",2008,3542.3542,79.8
"129","BEL",2009,3804.7643,80.1
"130","BEL",2010,3901.9126,80.3
"131","BEL",2011,4132.3109,80.7
"132","BEL",2012,4286.4123,80.5
"133","BEL",2013,4485.4804,80.7
"134","BEL",2014,4522.045,81.4
"135","BEL",2015,4611.2518,NA
"136","CAN",1971,324.0512,72.9
"137","CAN",1972,347.9395,NA
"138","CAN",1973,368.6198,NA
"139","CAN",1974,403.0845,NA
"140","CAN",1975,474.4168,NA
"141","CAN",1976,522.4715,73.9
"142","CAN",1977,565.5264,NA
"143","CAN",1978,620.3476,NA
"144","CAN",1979,678.4152,75.1
"145","CAN",1980,766.2398,75.3
"146","CAN",1981,882.5133,75.5
"147","CAN",1982,993.885,75.9
"148","CAN",1983,1073.7424,76.2
"149","CAN",1984,1149.5639,76.5
"150","CAN",1985,1232.7336,76.5
"151","CAN",1986,1312.9797,76.6
"152","CAN",1987,1372.9816,77
"153","CAN",1988,1464.7584,77
"154","CAN",1989,1570.801,77.3
"155","CAN",1990,1691.9502,77.6
"156","CAN",1991,1828.6897,77.8
"157","CAN",1992,1916.4154,78
"158","CAN",1993,1966.955,NA
"159","CAN",1994,1997.0656,78
"160","CAN",1995,2001.2318,78
"161","CAN",1996,2001.8672,78.2
"162","CAN",1997,2097.9041,78.3
"163","CAN",1998,2245.9346,78.5
"164","CAN",1999,2318.9571,78.8
"165","CAN",2000,2422.0817,79
"166","CAN",2001,2609.2285,79.3
"167","CAN",2002,2742.4513,79.5
"168","CAN",2003,2913.6997,79.7
"169","CAN",2004,3076.0005,79.9
"170","CAN",2005,3282.4541,80.1
"171","CAN",2006,3505.0061,80.4
"172","CAN",2007,3675.4766,80.5
"173","CAN",2008,3822.6386,80.7
"174","CAN",2009,4108.7578,80.9
"175","CAN",2010,4242.3395,81.2
"176","CAN",2011,4263.4169,81.5
"177","CAN",2012,4319.9434,NA
"178","CAN",2013,4502.7427,NA
"179","CAN",2014,4491.7648,NA
"180","CAN",2015,4608.4522,NA
"181","CHE",1971,392.4962,73.3
"182","CHE",1972,416.6092,73.8
"183","CHE",1973,455.9513,74.1
"184","CHE",1974,535.5791,74.4
"185","CHE",1975,618.5619,74.8
"186","CHE",1976,669.7635,74.9
"187","CHE",1977,730.4875,75.4
"188","CHE",1978,786.1328,75.4
"189","CHE",1979,882.7052,75.7
"190","CHE",1980,1007.6518,75.7
"191","CHE",1981,1123.2798,75.9
"192","CHE",1982,1194.4246,76.2
"193","CHE",1983,1310.4866,76.2
"194","CHE",1984,1346.3352,76.9
"195","CHE",1985,1434.7317,77
"196","CHE",1986,1519.943,77.1
"197","CHE",1987,1618.5075,77.5
"198","CHE",1988,1728.7078,77.5
"199","CHE",1989,1864.637,77.7
"200","CHE",1990,1968.0406,77.5
"201","CHE",1991,2152.7988,77.8
"202","CHE",1992,2277.882,78
"203","CHE",1993,2329.2126,78.4
"204","CHE",1994,2411.0169,78.6
"205","CHE",1995,2561.8827,78.7
"206","CHE",1996,2729.1252,79.1
"207","CHE",1997,2840.3597,79.3
"208","CHE",1998,2977.7701,79.6
"209","CHE",1999,3073.2264,79.8
"210","CHE",2000,3221.7795,79.9
"211","CHE",2001,3429.1233,80.4
"212","CHE",2002,3672.9233,80.6
"213","CHE",2003,3785.126,80.6
"214","CHE",2004,3935.8776,81.2
"215","CHE",2005,4015.3331,81.4
"216","CHE",2006,4251.3673,81.7
"217","CHE",2007,4567.3285,82
"218","CHE",2008,4933.1,82.2
"219","CHE",2009,5183.952,82.3
"220","CHE",2010,5371.4504,82.6
"221","CHE",2011,5787.6672,82.8
"222","CHE",2012,6288.6475,82.8
"223","CHE",2013,6635.2769,82.9
"224","CHE",2014,6786.5657,83.3
"225","CHE",2015,6934.6782,NA
"226","CHL",1990,NA,72.9
"227","CHL",1991,NA,74
"228","CHL",1992,NA,74.5
"229","CHL",1993,NA,74.5
"230","CHL",1994,NA,75
"231","CHL",1995,386.4554,74.8
"232","CHL",1996,457.4692,75.2
"233","CHL",1997,502.2545,75.7
"234","CHL",1998,562.7385,75.8
"235","CHL",1999,575.2054,76
"236","CHL",2000,610.4082,76.8
"237","CHL",2001,648.7998,76.8
"238","CHL",2002,668.9071,77.2
"239","CHL",2003,783.3854,77.2
"240","CHL",2004,803.8802,77.2
"241","CHL",2005,837.7758,77.6
"242","CHL",2006,936.2072,78
"243","CHL",2007,1031.0343,77.5
"244","CHL",2008,1097.2873,78.1
"245","CHL",2009,1150.0554,78.2
"246","CHL",2010,1219.6509,78
"247","CHL",2011,1358.1965,78.7
"248","CHL",2012,1485.319,78.7
"249","CHL",2013,1558.4465,78.8
"250","CHL",2014,1688.5233,79
"251","CHL",2015,1728.2484,NA
"252","CZE",1971,NA,69.8
"253","CZE",1972,NA,70.3
"254","CZE",1973,NA,70.2
"255","CZE",1974,NA,70.2
"256","CZE",1975,NA,70.6
"257","CZE",1976,NA,70.7
"258","CZE",1977,NA,70.8
"259","CZE",1978,NA,70.9
"260","CZE",1979,NA,70.9
"261","CZE",1980,NA,70.5
"262","CZE",1981,NA,70.8
"263","CZE",1982,NA,70.9
"264","CZE",1983,NA,70.8
"265","CZE",1984,NA,71
"266","CZE",1985,NA,71.2
"267","CZE",1986,NA,71.1
"268","CZE",1987,NA,71.6
"269","CZE",1988,NA,71.8
"270","CZE",1989,NA,71.9
"271","CZE",1990,476.9631,71.6
"272","CZE",1991,452.5691,72
"273","CZE",1992,474.7148,72.5
"274","CZE",1993,650.6677,72.9
"275","CZE",1994,704.2931,73.2
"276","CZE",1995,795.1116,73.3
"277","CZE",1996,827.8918,74
"278","CZE",1997,841.0002,74.1
"279","CZE",1998,842.7366,74.7
"280","CZE",1999,893.9575,74.9
"281","CZE",2000,933.6127,75.1
"282","CZE",2001,1041.4699,75.3
"283","CZE",2002,1138.5076,75.4
"284","CZE",2003,1289.5129,75.3
"285","CZE",2004,1342.0659,75.8
"286","CZE",2005,1425.1388,76.1
"287","CZE",2006,1514.1975,76.7
"288","CZE",2007,1608.5877,77
"289","CZE",2008,1727.9885,77.3
"290","CZE",2009,1974.0369,77.4
"291","CZE",2010,1879.5815,77.7
"292","CZE",2011,2001.2635,78
"293","CZE",2012,2028.2657,78.2
"294","CZE",2013,2330.4702,78.3
"295","CZE",2014,2386.3385,78.9
"296","CZE",2015,2463.6704,NA
"297","DEU",1971,302.1459,70.8
"298","DEU",1972,343.7003,71
"299","DEU",1973,396.4314,71.3
"300","DEU",1974,468.7214,71.5
"301","DEU",1975,555.566,71.4
"302","DEU",1976,619.4491,71.8
"303","DEU",1977,675.8422,72.5
"304","DEU",1978,752.8158,72.4
"305","DEU",1979,832.6286,72.8
"306","DEU",1980,941.1213,72.9
"307","DEU",1981,1070.3393,73.2
"308","DEU",1982,1110.4089,73.5
"309","DEU",1983,1175.1552,73.8
"310","DEU",1984,1274.0643,74.3
"311","DEU",1985,1372.0026,74.4
"312","DEU",1986,1412.8683,74.6
"313","DEU",1987,1484.8339,75
"314","DEU",1988,1620.0093,75.2
"315","DEU",1989,1609.1452,75.4
"316","DEU",1990,1721.5143,75.3
"317","DEU",1991,NA,75.5
"318","DEU",1992,1907.9949,76
"319","DEU",1993,1915.2877,76.1
"320","DEU",1994,2049.6612,76.4
"321","DEU",1995,2185.1405,76.6
"322","DEU",1996,2312.0275,76.9
"323","DEU",1997,2335.1543,77.3
"324","DEU",1998,2405.8643,77.7
"325","DEU",1999,2512.7486,77.9
"326","DEU",2000,2612.5703,78.2
"327","DEU",2001,2730.1828,78.5
