"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","1971",223.592,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1972",239.1784,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1973",264.0303,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1974",322.3286,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1975",401.8512,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1976",430.061,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1977",472.8991,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1978",510.7161,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1979",554.7626,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1980",615.7256,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1981",697.3706,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1982",731.9027,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1983",773.4711,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1984",817.2866,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1985",881.2391,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1986",941.1635,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1987",981.6215,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1988",1039.8854,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1989",1091.3294,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1990",1154.0445,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1991",1229.3906,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1992",1307.222,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1993",1381.1135,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1994",1470.8096,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1995",1554.7982,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1996",1645.0156,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1997",1730.7444,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1998",1858.2922,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","1999",1986.4928,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2000",2156.808,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2001",2271.4553,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2002",2426.4793,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2003",2546.2803,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2004",2745.6316,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2005",2842.1321,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2006",3023.0978,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2007",3196.226,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2008",3310.1708,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2009",3564.4049,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2010",3607.3407,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3794.0874,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3807.6819,"D"
