"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP","TOT","YR","A","1960",70.9,
"AUS","LIFEEXP","TOT","YR","A","1961",71.2,
"AUS","LIFEEXP","TOT","YR","A","1962",71,
"AUS","LIFEEXP","TOT","YR","A","1963",71.1,
"AUS","LIFEEXP","TOT","YR","A","1964",70.7,
"AUS","LIFEEXP","TOT","YR","A","1965",71,
"AUS","LIFEEXP","TOT","YR","A","1966",70.8,
"AUS","LIFEEXP","TOT","YR","A","1967",71.2,
"AUS","LIFEEXP","TOT","YR","A","1968",70.9,
"AUS","LIFEEXP","TOT","YR","A","1969",71.1,
"AUS","LIFEEXP","TOT","YR","A","1970",70.8,
"AUS","LIFEEXP","TOT","YR","A","1971",71.6,
"AUS","LIFEEXP","TOT","YR","A","1972",72,
"AUS","LIFEEXP","TOT","YR","A","1973",72.1,
"AUS","LIFEEXP","TOT","YR","A","1974",71.9,
"AUS","LIFEEXP","TOT","YR","A","1975",72.7,
"AUS","LIFEEXP","TOT","YR","A","1976",72.8,
"AUS","LIFEEXP","TOT","YR","A","1977",73.4,
"AUS","LIFEEXP","TOT","YR","A","1978",73.7,
"AUS","LIFEEXP","TOT","YR","A","1979",74.3,
"AUS","LIFEEXP","TOT","YR","A","1980",74.6,
"AUS","LIFEEXP","TOT","YR","A","1981",74.9,
"AUS","LIFEEXP","TOT","YR","A","1982",74.7,
"AUS","LIFEEXP","TOT","YR","A","1983",75.5,
"AUS","LIFEEXP","TOT","YR","A","1984",75.8,
"AUS","LIFEEXP","TOT","YR","A","1985",75.6,
"AUS","LIFEEXP","TOT","YR","A","1986",76.1,
"AUS","LIFEEXP","TOT","YR","A","1987",76.3,
"AUS","LIFEEXP","TOT","YR","A","1988",76.3,
"AUS","LIFEEXP","TOT","YR","A","1989",76.5,
"AUS","LIFEEXP","TOT","YR","A","1990",77,
"AUS","LIFEEXP","TOT","YR","A","1991",77.4,
"AUS","LIFEEXP","TOT","YR","A","1992",77.5,
"AUS","LIFEEXP","TOT","YR","A","1993",78,
"AUS","LIFEEXP","TOT","YR","A","1994",78,
"AUS","LIFEEXP","TOT","YR","A","1995",77.9,
"AUS","LIFEEXP","TOT","YR","A","1996",78.2,
"AUS","LIFEEXP","TOT","YR","A","1997",78.5,
"AUS","LIFEEXP","TOT","YR","A","1998",78.7,
"AUS","LIFEEXP","TOT","YR","A","1999",79,
"AUS","LIFEEXP","TOT","YR","A","2000",79.3,
"AUS","LIFEEXP","TOT","YR","A","2001",79.7,
"AUS","LIFEEXP","TOT","YR","A","2002",80,
"AUS","LIFEEXP","TOT","YR","A","2003",80.3,
"AUS","LIFEEXP","TOT","YR","A","2004",80.6,
"AUS","LIFEEXP","TOT","YR","A","2005",80.9,
"AUS","LIFEEXP","TOT","YR","A","2006",81.1,
"AUS","LIFEEXP","TOT","YR","A","2007",81.4,
"AUS","LIFEEXP","TOT","YR","A","2008",81.5,
"AUS","LIFEEXP","TOT","YR","A","2009",81.6,
"AUS","LIFEEXP","TOT","YR","A","2010",81.8,
"AUS","LIFEEXP","TOT","YR","A","2011",82,
"AUS","LIFEEXP","TOT","YR","A","2012",82.1,
"AUS","LIFEEXP","TOT","YR","A","2013",82.2,
"AUS","LIFEEXP","TOT","YR","A","2014",82.4,
"AUT","LIFEEXP","TOT","YR","A","1960",68.7,
"AUT","LIFEEXP","TOT","YR","A","1961",69.7,
"AUT","LIFEEXP","TOT","YR","A","1962",69.4,
"AUT","LIFEEXP","TOT","YR","A","1963",69.6,
"AUT","LIFEEXP","TOT","YR","A","1964",70,
"AUT","LIFEEXP","TOT","YR","A","1965",69.8,
"AUT","LIFEEXP","TOT","YR","A","1966",70.2,
"AUT","LIFEEXP","TOT","YR","A","1967",70,
"AUT","LIFEEXP","TOT","YR","A","1968",70.2,
"AUT","LIFEEXP","TOT","YR","A","1969",69.9,
"AUT","LIFEEXP","TOT","YR","A","1970",70,
"AUT","LIFEEXP","TOT","YR","A","1971",70.2,
"AUT","LIFEEXP","TOT","YR","A","1972",70.6,
"AUT","LIFEEXP","TOT","YR","A","1973",71.1,
"AUT","LIFEEXP","TOT","YR","A","1974",71.1,
"AUT","LIFEEXP","TOT","YR","A","1975",71.2,
"AUT","LIFEEXP","TOT","YR","A","1976",71.7,
"AUT","LIFEEXP","TOT","YR","A","1977",72,
"AUT","LIFEEXP","TOT","YR","A","1978",72.1,
"AUT","LIFEEXP","TOT","YR","A","1979",72.4,
"AUT","LIFEEXP","TOT","YR","A","1980",72.6,
"AUT","LIFEEXP","TOT","YR","A","1981",72.9,
"AUT","LIFEEXP","TOT","YR","A","1982",73.1,
"AUT","LIFEEXP","TOT","YR","A","1983",73.1,
"AUT","LIFEEXP","TOT","YR","A","1984",73.7,
"AUT","LIFEEXP","TOT","YR","A","1985",73.9,
"AUT","LIFEEXP","TOT","YR","A","1986",74.4,
"AUT","LIFEEXP","TOT","YR","A","1987",74.9,
"AUT","LIFEEXP","TOT","YR","A","1988",75.3,
"AUT","LIFEEXP","TOT","YR","A","1989",75.4,
"AUT","LIFEEXP","TOT","YR","A","1990",75.7,
"AUT","LIFEEXP","TOT","YR","A","1991",75.7,
"AUT","LIFEEXP","TOT","YR","A","1992",75.9,
"AUT","LIFEEXP","TOT","YR","A","1993",76.2,
"AUT","LIFEEXP","TOT","YR","A","1994",76.5,
"AUT","LIFEEXP","TOT","YR","A","1995",76.8,
"AUT","LIFEEXP","TOT","YR","A","1996",77,
"AUT","LIFEEXP","TOT","YR","A","1997",77.4,
"AUT","LIFEEXP","TOT","YR","A","1998",77.8,
"AUT","LIFEEXP","TOT","YR","A","1999",78,
"AUT","LIFEEXP","TOT","YR","A","2000",78.2,
"AUT","LIFEEXP","TOT","YR","A","2001",78.7,
"AUT","LIFEEXP","TOT","YR","A","2002",78.8,
"AUT","LIFEEXP","TOT","YR","A","2003",78.7,
"AUT","LIFEEXP","TOT","YR","A","2004",79.3,
"AUT","LIFEEXP","TOT","YR","A","2005",79.4,
"AUT","LIFEEXP","TOT","YR","A","2006",80,
"AUT","LIFEEXP","TOT","YR","A","2007",80.3,
"AUT","LIFEEXP","TOT","YR","A","2008",80.5,
"AUT","LIFEEXP","TOT","YR","A","2009",80.4,
"AUT","LIFEEXP","TOT","YR","A","2010",80.7,
"AUT","LIFEEXP","TOT","YR","A","2011",81.1,
"AUT","LIFEEXP","TOT","YR","A","2012",81,
"AUT","LIFEEXP","TOT","YR","A","2013",81.2,
"AUT","LIFEEXP","TOT","YR","A","2014",81.6,
"BEL","LIFEEXP","TOT","YR","A","1960",69.8,
"BEL","LIFEEXP","TOT","YR","A","1961",70.6,
"BEL","LIFEEXP","TOT","YR","A","1962",70.3,
"BEL","LIFEEXP","TOT","YR","A","1963",70.1,
"BEL","LIFEEXP","TOT","YR","A","1964",70.9,
"BEL","LIFEEXP","TOT","YR","A","1965",70.7,
"BEL","LIFEEXP","TOT","YR","A","1966",70.8,
"BEL","LIFEEXP","TOT","YR","A","1967",71.1,
"BEL","LIFEEXP","TOT","YR","A","1968",70.8,
"BEL","LIFEEXP","TOT","YR","A","1969",70.9,
"BEL","LIFEEXP","TOT","YR","A","1970",71.1,
"BEL","LIFEEXP","TOT","YR","A","1971",71.2,
"BEL","LIFEEXP","TOT","YR","A","1972",71.5,
"BEL","LIFEEXP","TOT","YR","A","1973",71.7,
"BEL","LIFEEXP","TOT","YR","A","1974",72.1,
"BEL","LIFEEXP","TOT","YR","A","1975",72.1,
"BEL","LIFEEXP","TOT","YR","A","1976",72.2,
"BEL","LIFEEXP","TOT","YR","A","1977",72.9,
"BEL","LIFEEXP","TOT","YR","A","1978",72.8,
"BEL","LIFEEXP","TOT","YR","A","1979",73.3,
"BEL","LIFEEXP","TOT","YR","A","1980",73.3,
"BEL","LIFEEXP","TOT","YR","A","1981",73.7,
"BEL","LIFEEXP","TOT","YR","A","1982",74,
"BEL","LIFEEXP","TOT","YR","A","1983",74,
"BEL","LIFEEXP","TOT","YR","A","1984",74.5,
"BEL","LIFEEXP","TOT","YR","A","1985",74.6,
"BEL","LIFEEXP","TOT","YR","A","1986",74.8,
"BEL","LIFEEXP","TOT","YR","A","1987",75.5,
"BEL","LIFEEXP","TOT","YR","A","1988",75.7,
"BEL","LIFEEXP","TOT","YR","A","1989",75.7,
"BEL","LIFEEXP","TOT","YR","A","1990",76.1,
"BEL","LIFEEXP","TOT","YR","A","1991",76.3,
"BEL","LIFEEXP","TOT","YR","A","1992",76.5,
"BEL","LIFEEXP","TOT","YR","A","1993",76.5,
"BEL","LIFEEXP","TOT","YR","A","1994",76.8,
"BEL","LIFEEXP","TOT","YR","A","1995",77,
"BEL","LIFEEXP","TOT","YR","A","1996",77.3,
"BEL","LIFEEXP","TOT","YR","A","1997",77.5,
"BEL","LIFEEXP","TOT","YR","A","1998",77.6,
"BEL","LIFEEXP","TOT","YR","A","1999",77.7,
"BEL","LIFEEXP","TOT","YR","A","2000",77.8,
"BEL","LIFEEXP","TOT","YR","A","2001",78.1,
"BEL","LIFEEXP","TOT","YR","A","2002",78.2,
"BEL","LIFEEXP","TOT","YR","A","2003",78.2,
"BEL","LIFEEXP","TOT","YR","A","2004",79,
"BEL","LIFEEXP","TOT","YR","A","2005",79.1,
"BEL","LIFEEXP","TOT","YR","A","2006",79.5,
"BEL","LIFEEXP","TOT","YR","A","2007",79.9,
"BEL","LIFEEXP","TOT","YR","A","2008",79.8,
"BEL","LIFEEXP","TOT","YR","A","2009",80.1,
"BEL","LIFEEXP","TOT","YR","A","2010",80.3,
"BEL","LIFEEXP","TOT","YR","A","2011",80.7,"B"
"BEL","LIFEEXP","TOT","YR","A","2012",80.5,
"BEL","LIFEEXP","TOT","YR","A","2013",80.7,
"BEL","LIFEEXP","TOT","YR","A","2014",81.4,
"CAN","LIFEEXP","TOT","YR","A","1961",71.3,
"CAN","LIFEEXP","TOT","YR","A","1966",72,
"CAN","LIFEEXP","TOT","YR","A","1971",72.9,
"CAN","LIFEEXP","TOT","YR","A","1976",73.9,
"CAN","LIFEEXP","TOT","YR","A","1979",75.1,
"CAN","LIFEEXP","TOT","YR","A","1980",75.3,
"CAN","LIFEEXP","TOT","YR","A","1981",75.5,
"CAN","LIFEEXP","TOT","YR","A","1982",75.9,
"CAN","LIFEEXP","TOT","YR","A","1983",76.2,
"CAN","LIFEEXP","TOT","YR","A","1984",76.5,
"CAN","LIFEEXP","TOT","YR","A","1985",76.5,
"CAN","LIFEEXP","TOT","YR","A","1986",76.6,
"CAN","LIFEEXP","TOT","YR","A","1987",77,
"CAN","LIFEEXP","TOT","YR","A","1988",77,
"CAN","LIFEEXP","TOT","YR","A","1989",77.3,
"CAN","LIFEEXP","TOT","YR","A","1990",77.6,
"CAN","LIFEEXP","TOT","YR","A","1991",77.8,
"CAN","LIFEEXP","TOT","YR","A","1992",78,
"CAN","LIFEEXP","TOT","YR","A","1994",78,
"CAN","LIFEEXP","TOT","YR","A","1995",78,
"CAN","LIFEEXP","TOT","YR","A","1996",78.2,
"CAN","LIFEEXP","TOT","YR","A","1997",78.3,
"CAN","LIFEEXP","TOT","YR","A","1998",78.5,
"CAN","LIFEEXP","TOT","YR","A","1999",78.8,
"CAN","LIFEEXP","TOT","YR","A","2000",79,
"CAN","LIFEEXP","TOT","YR","A","2001",79.3,
"CAN","LIFEEXP","TOT","YR","A","2002",79.5,
"CAN","LIFEEXP","TOT","YR","A","2003",79.7,
"CAN","LIFEEXP","TOT","YR","A","2004",79.9,
"CAN","LIFEEXP","TOT","YR","A","2005",80.1,
"CAN","LIFEEXP","TOT","YR","A","2006",80.4,
"CAN","LIFEEXP","TOT","YR","A","2007",80.5,"B"
"CAN","LIFEEXP","TOT","YR","A","2008",80.7,
"CAN","LIFEEXP","TOT","YR","A","2009",80.9,
"CAN","LIFEEXP","TOT","YR","A","2010",81.2,
"CAN","LIFEEXP","TOT","YR","A","2011",81.5,
"CZE","LIFEEXP","TOT","YR","A","1960",70.7,
"CZE","LIFEEXP","TOT","YR","A","1961",70.7,
"CZE","LIFEEXP","TOT","YR","A","1962",69.9,
"CZE","LIFEEXP","TOT","YR","A","1963",70.5,
"CZE","LIFEEXP","TOT","YR","A","1964",70.7,
"CZE","LIFEEXP","TOT","YR","A","1965",70.4,
"CZE","LIFEEXP","TOT","YR","A","1966",70.6,
"CZE","LIFEEXP","TOT","YR","A","1967",70.5,
"CZE","LIFEEXP","TOT","YR","A","1968",70.1,
"CZE","LIFEEXP","TOT","YR","A","1969",69.6,
"CZE","LIFEEXP","TOT","YR","A","1970",69.6,
"CZE","LIFEEXP","TOT","YR","A","1971",69.8,
"CZE","LIFEEXP","TOT","YR","A","1972",70.3,
"CZE","LIFEEXP","TOT","YR","A","1973",70.2,
"CZE","LIFEEXP","TOT","YR","A","1974",70.2,
"CZE","LIFEEXP","TOT","YR","A","1975",70.6,
"CZE","LIFEEXP","TOT","YR","A","1976",70.7,
"CZE","LIFEEXP","TOT","YR","A","1977",70.8,
"CZE","LIFEEXP","TOT","YR","A","1978",70.9,
"CZE","LIFEEXP","TOT","YR","A","1979",70.9,
"CZE","LIFEEXP","TOT","YR","A","1980",70.5,
"CZE","LIFEEXP","TOT","YR","A","1981",70.8,
"CZE","LIFEEXP","TOT","YR","A","1982",70.9,
"CZE","LIFEEXP","TOT","YR","A","1983",70.8,
"CZE","LIFEEXP","TOT","YR","A","1984",71,
"CZE","LIFEEXP","TOT","YR","A","1985",71.2,
"CZE","LIFEEXP","TOT","YR","A","1986",71.1,
"CZE","LIFEEXP","TOT","YR","A","1987",71.6,
"CZE","LIFEEXP","TOT","YR","A","1988",71.8,
"CZE","LIFEEXP","TOT","YR","A","1989",71.9,
"CZE","LIFEEXP","TOT","YR","A","1990",71.6,
"CZE","LIFEEXP","TOT","YR","A","1991",72,
"CZE","LIFEEXP","TOT","YR","A","1992",72.5,
"CZE","LIFEEXP","TOT","YR","A","1993",72.9,
"CZE","LIFEEXP","TOT","YR","A","1994",73.2,
"CZE","LIFEEXP","TOT","YR","A","1995",73.3,
"CZE","LIFEEXP","TOT","YR","A","1996",74,
"CZE","LIFEEXP","TOT","YR","A","1997",74.1,
"CZE","LIFEEXP","TOT","YR","A","1998",74.7,
"CZE","LIFEEXP","TOT","YR","A","1999",74.9,
"CZE","LIFEEXP","TOT","YR","A","2000",75.1,
"CZE","LIFEEXP","TOT","YR","A","2001",75.3,
"CZE","LIFEEXP","TOT","YR","A","2002",75.4,
"CZE","LIFEEXP","TOT","YR","A","2003",75.3,
"CZE","LIFEEXP","TOT","YR","A","2004",75.8,
"CZE","LIFEEXP","TOT","YR","A","2005",76.1,
